CustomerName,InvoiceNumber,InvoiceDate,CustomerPoNumber,BillTotal,Applied,Status,Currency,ContactName,ContactPhone,ContactEmail,CustomerTerms,DueDate
Lens & Light,DF2024988,11/19/24,PO-000001,3150,3150,Closed,USD,Angela Scott,555-513-2964,angela@lensandlight.com,Net 30,12/19/24 00:00
Lens & Light,DF2025240,11/25/24,PO-000002,1400,1400,Closed,USD,Angela Scott,555-513-2964,angela@lensandlight.com,Net 30,12/25/24 00:00
Lens & Light,DF2026717,1/23/25,PO-000003,3450,3450,Closed,USD,Angela Scott,555-513-2964,angela@lensandlight.com,Net 30,2/22/25 00:00
Lens & Light,DF2026828,1/27/25,PO-000004,1550,1550,Closed,USD,Angela Scott,555-513-2964,angela@lensandlight.com,Net 30,2/26/25 00:00
Trend Treasures,DF2018216,5/22/24,PO-000005,2445,2445,Closed,USD,Angela Scott,555-513-2964,angela@trendtreasures.com,Net 15,6/6/24 00:00
Summit Realty Group,DF2026500,1/15/25,PO-000006,3600,3600,Closed,USD,Emily Lopez,555-683-5033,emily@summitrealtygroup.com,Net 30,2/14/25 00:00
Summit Realty Group,DF2030044,5/21/25,PO-000007,1450,1450,Closed,USD,Emily Lopez,555-683-5033,emily@summitrealtygroup.com,Net 30,6/20/25 00:00
SmartWare Systems,DF2026918,1/31/25,PO-000008,2243,2243,Closed,USD,Patricia Miller,555-692-1651,patricia@smartwaresystems.com,Net 7,2/7/25 00:00
Cozy Nook Designs,DF2027242,2/12/25,PO-000009,6100,6100,Closed,USD,Deborah Baker,555-734-2343,deborah@cozynookdesigns.com,Net 30,3/14/25 00:00
Cozy Nook Designs,DF2029315,5/5/25,PO-000010,7500,7500,Closed,USD,Deborah Baker,555-734-2343,deborah@cozynookdesigns.com,Net 30,6/4/25 00:00
Chow Down Express,DF2016185,4/11/24,PO-000011,1000,1000,Closed,USD,Joshua Baker,555-529-9565,joshua@chowdownexpress.com,Net 30,5/11/24 00:00
Chow Down Express,DF2016519,4/15/24,PO-000012,1250,1250,Closed,USD,Joshua Baker,555-529-9565,joshua@chowdownexpress.com,Net 30,5/15/24 00:00
Chow Down Express,DF2016611,4/17/24,PO-000013,850,850,Closed,USD,Joshua Baker,555-529-9565,joshua@chowdownexpress.com,Net 30,5/17/24 00:00
Chow Down Express,DF2017511,5/1/24,PO-000014,1100,1100,Closed,USD,Joshua Baker,555-529-9565,joshua@chowdownexpress.com,Net 30,5/31/24 00:00
Chow Down Express,DF2017519,5/1/24,PO-000015,875,875,Closed,USD,Joshua Baker,555-529-9565,joshua@chowdownexpress.com,Net 30,5/31/24 00:00
Chow Down Express,DF2018092,5/15/24,PO-000016,945,945,Closed,USD,Joshua Baker,555-529-9565,joshua@chowdownexpress.com,Net 30,6/14/24 00:00
Chow Down Express,DF2018971,6/3/24,PO-000017,700,700,Closed,USD,Joshua Baker,555-529-9565,joshua@chowdownexpress.com,Net 30,7/3/24 00:00
Explore Horizons,DF2025159,11/29/24,PO-000018,550,550,Closed,USD,Patricia Adams,555-423-5272,patricia@explorehorizons.com,Net 30,12/29/24 00:00
Explore Horizons,DF2025562,12/16/24,PO-000019,900,900,Closed,USD,Patricia Adams,555-423-5272,patricia@explorehorizons.com,Net 30,1/15/25 00:00
Explore Horizons,DF2026608,1/21/25,PO-000020,2950,2950,Closed,USD,Patricia Adams,555-423-5272,patricia@explorehorizons.com,Net 30,2/20/25 00:00
Explore Horizons,DF2026609,1/29/25,PO-000021,2950,2950,Closed,USD,Patricia Adams,555-423-5272,patricia@explorehorizons.com,Net 30,2/28/25 00:00
LifeSpring Medical,DF2012830,1/22/24,PO-000022,5000,5000,Closed,USD,Matthew Martinez,555-309-6147,matthew@lifespringmedical.com,Net 30,2/21/24 00:00
LifeSpring Medical,DF2012896,2/7/24,PO-000023,5500,5500,Closed,USD,Matthew Martinez,555-309-6147,matthew@lifespringmedical.com,Net 30,3/8/24 00:00
LifeSpring Medical,DF2014086,2/19/24,PO-000024,1150,1150,Closed,USD,Matthew Martinez,555-309-6147,matthew@lifespringmedical.com,Net 30,3/20/24 00:00
LifeSpring Medical,DF2015258,3/18/24,PO-000025,1150,1150,Closed,USD,Matthew Martinez,555-309-6147,matthew@lifespringmedical.com,Net 30,4/17/24 00:00
LifeSpring Medical,DF2015315,3/22/24,PO-000026,2150,2150,Closed,USD,Matthew Martinez,555-309-6147,matthew@lifespringmedical.com,Net 30,4/21/24 00:00
LifeSpring Medical,DF2015561,4/1/24,PO-000027,3700,3700,Closed,USD,Matthew Martinez,555-309-6147,matthew@lifespringmedical.com,Net 30,5/1/24 00:00
LifeSpring Medical,DF2015562,4/1/24,PO-000028,2300,2300,Closed,USD,Matthew Martinez,555-309-6147,matthew@lifespringmedical.com,Net 30,5/1/24 00:00
LifeSpring Medical,DF2015729,3/26/24,PO-000029,2500,2500,Closed,USD,Matthew Martinez,555-309-6147,matthew@lifespringmedical.com,Net 30,4/25/24 00:00
LifeSpring Medical,DF2016065,4/11/24,PO-000030,1150,1150,Closed,USD,Matthew Martinez,555-309-6147,matthew@lifespringmedical.com,Net 30,5/11/24 00:00
LifeSpring Medical,DF2016520,4/18/24,PO-000031,2500,2500,Closed,USD,Matthew Martinez,555-309-6147,matthew@lifespringmedical.com,Net 30,5/18/24 00:00
LifeSpring Medical,DF2016521,4/17/24,PO-000032,1700,1700,Closed,USD,Matthew Martinez,555-309-6147,matthew@lifespringmedical.com,Net 30,5/17/24 00:00
LifeSpring Medical,DF2016583,4/15/24,PO-000033,1150,1150,Closed,USD,Matthew Martinez,555-309-6147,matthew@lifespringmedical.com,Net 30,5/15/24 00:00
LifeSpring Medical,DF2017073,4/24/24,PO-000034,800,800,Closed,USD,Matthew Martinez,555-309-6147,matthew@lifespringmedical.com,Net 30,5/24/24 00:00
LifeSpring Medical,DF2017243,5/2/24,PO-000035,1150,1150,Closed,USD,Matthew Martinez,555-309-6147,matthew@lifespringmedical.com,Net 30,6/1/24 00:00
LifeSpring Medical,DF2017899,5/14/24,PO-000036,1150,1150,Closed,USD,Matthew Martinez,555-309-6147,matthew@lifespringmedical.com,Net 30,6/13/24 00:00
LifeSpring Medical,DF2018119,5/14/24,PO-000037,1950,1950,Closed,USD,Matthew Martinez,555-309-6147,matthew@lifespringmedical.com,Net 30,6/13/24 00:00
LifeSpring Medical,DF2018225,5/22/24,PO-000038,1900,1900,Closed,USD,Matthew Martinez,555-309-6147,matthew@lifespringmedical.com,Net 30,6/21/24 00:00
LifeSpring Medical,DF2018227,6/3/24,PO-000039,3150,3150,Closed,USD,Matthew Martinez,555-309-6147,matthew@lifespringmedical.com,Net 30,7/3/24 00:00
LifeSpring Medical,DF2018398,5/22/24,PO-000040,1150,1150,Closed,USD,Matthew Martinez,555-309-6147,matthew@lifespringmedical.com,Net 30,6/21/24 00:00
LifeSpring Medical,DF2018496,5/22/24,PO-000041,750,750,Closed,USD,Matthew Martinez,555-309-6147,matthew@lifespringmedical.com,Net 30,6/21/24 00:00
LifeSpring Medical,DF2018575,6/3/24,PO-000042,2000,2000,Closed,USD,Matthew Martinez,555-309-6147,matthew@lifespringmedical.com,Net 30,7/3/24 00:00
LifeSpring Medical,DF2018576,6/3/24,PO-000043,5100,5100,Closed,USD,Matthew Martinez,555-309-6147,matthew@lifespringmedical.com,Net 30,7/3/24 00:00
LifeSpring Medical,DF2018635,6/3/24,PO-000044,2000,2000,Closed,USD,Matthew Martinez,555-309-6147,matthew@lifespringmedical.com,Net 30,7/3/24 00:00
LifeSpring Medical,DF2018666,6/3/24,PO-000045,1150,1150,Closed,USD,Matthew Martinez,555-309-6147,matthew@lifespringmedical.com,Net 30,7/3/24 00:00
LifeSpring Medical,DF2018767,5/30/24,PO-000046,3700,3700,Closed,USD,Matthew Martinez,555-309-6147,matthew@lifespringmedical.com,Net 30,6/29/24 00:00
LifeSpring Medical,DF2018813,6/3/24,PO-000047,3500,3500,Closed,USD,Matthew Martinez,555-309-6147,matthew@lifespringmedical.com,Net 30,7/3/24 00:00
LifeSpring Medical,DF2019128,6/10/24,PO-000048,4300,4300,Closed,USD,Matthew Martinez,555-309-6147,matthew@lifespringmedical.com,Net 30,7/10/24 00:00
LifeSpring Medical,DF2019257,6/10/24,PO-000049,1950,1950,Closed,USD,Matthew Martinez,555-309-6147,matthew@lifespringmedical.com,Net 30,7/10/24 00:00
LifeSpring Medical,DF2019258,6/27/24,PO-000050,1950,1950,Closed,USD,Matthew Martinez,555-309-6147,matthew@lifespringmedical.com,Net 30,7/27/24 00:00
LifeSpring Medical,DF2019259,6/27/24,PO-000051,3500,3500,Closed,USD,Matthew Martinez,555-309-6147,matthew@lifespringmedical.com,Net 30,7/27/24 00:00
LifeSpring Medical,DF2019261,6/27/24,PO-000052,3500,3500,Closed,USD,Matthew Martinez,555-309-6147,matthew@lifespringmedical.com,Net 30,7/27/24 00:00
LifeSpring Medical,DF2019282,6/27/24,PO-000053,250,250,Closed,USD,Matthew Martinez,555-309-6147,matthew@lifespringmedical.com,Net 30,7/27/24 00:00
LifeSpring Medical,DF2019300,6/10/24,PO-000049,2600,2600,Closed,USD,Matthew Martinez,555-309-6147,matthew@lifespringmedical.com,Net 30,7/10/24 00:00
LifeSpring Medical,DF2019359,6/25/24,PO-000049,1900,1900,Closed,USD,Matthew Martinez,555-309-6147,matthew@lifespringmedical.com,Net 30,7/25/24 00:00
LifeSpring Medical,DF2019810,6/27/24,PO-000054,1150,1150,Closed,USD,Matthew Martinez,555-309-6147,matthew@lifespringmedical.com,Net 30,7/27/24 00:00
LifeSpring Medical,DF2019926,6/27/24,PO-000055,1700,1700,Closed,USD,Matthew Martinez,555-309-6147,matthew@lifespringmedical.com,Net 30,7/27/24 00:00
LifeSpring Medical,DF2019927,7/10/24,PO-000056,5500,5500,Closed,USD,Matthew Martinez,555-309-6147,matthew@lifespringmedical.com,Net 30,8/9/24 00:00
LifeSpring Medical,DF2020010,7/10/24,PO-000057,3750,3750,Closed,USD,Matthew Martinez,555-309-6147,matthew@lifespringmedical.com,Net 30,8/9/24 00:00
LifeSpring Medical,DF2020011,7/10/24,PO-000058,3750,3750,Closed,USD,Matthew Martinez,555-309-6147,matthew@lifespringmedical.com,Net 30,8/9/24 00:00
LifeSpring Medical,DF2020012,6/27/24,PO-000059,2100,2100,Closed,USD,Matthew Martinez,555-309-6147,matthew@lifespringmedical.com,Net 30,7/27/24 00:00
LifeSpring Medical,DF2020074,6/27/24,PO-000060,3650,3650,Closed,USD,Matthew Martinez,555-309-6147,matthew@lifespringmedical.com,Net 30,7/27/24 00:00
LifeSpring Medical,DF2020370,7/10/24,PO-000061,1150,1150,Closed,USD,Matthew Martinez,555-309-6147,matthew@lifespringmedical.com,Net 30,8/9/24 00:00
LifeSpring Medical,DF2020770,7/18/24,PO-000062,1150,1150,Closed,USD,Matthew Martinez,555-309-6147,matthew@lifespringmedical.com,Net 30,8/17/24 00:00
LifeSpring Medical,DF2020772,7/16/24,PO-000063,2850,2850,Closed,USD,Matthew Martinez,555-309-6147,matthew@lifespringmedical.com,Net 30,8/15/24 00:00
LifeSpring Medical,DF2020796,7/18/24,PO-000064,5100,5100,Closed,USD,Matthew Martinez,555-309-6147,matthew@lifespringmedical.com,Net 30,8/17/24 00:00
LifeSpring Medical,DF2020925,7/18/24,PO-000065,1500,1500,Closed,USD,Matthew Martinez,555-309-6147,matthew@lifespringmedical.com,Net 30,8/17/24 00:00
LifeSpring Medical,DF2021048,7/18/24,PO-000066,2000,2000,Closed,USD,Matthew Martinez,555-309-6147,matthew@lifespringmedical.com,Net 30,8/17/24 00:00
LifeSpring Medical,DF2021074,7/23/24,PO-000067,4200,4200,Closed,USD,Matthew Martinez,555-309-6147,matthew@lifespringmedical.com,Net 30,8/22/24 00:00
LifeSpring Medical,DF2021516,8/7/24,PO-000068,1700,1700,Closed,USD,Matthew Martinez,555-309-6147,matthew@lifespringmedical.com,Net 30,9/6/24 00:00
LifeSpring Medical,DF2021615,8/15/24,PO-000069,1800,1800,Closed,USD,Matthew Martinez,555-309-6147,matthew@lifespringmedical.com,Net 30,9/14/24 00:00
LifeSpring Medical,DF2021716,8/12/24,PO-000070,1150,1150,Closed,USD,Matthew Martinez,555-309-6147,matthew@lifespringmedical.com,Net 30,9/11/24 00:00
LifeSpring Medical,DF2021802,8/12/24,PO-000071,2000,2000,Closed,USD,Matthew Martinez,555-309-6147,matthew@lifespringmedical.com,Net 30,9/11/24 00:00
LifeSpring Medical,DF2021818,8/17/24,PO-000072,1150,1150,Closed,USD,Matthew Martinez,555-309-6147,matthew@lifespringmedical.com,Net 30,9/16/24 00:00
LifeSpring Medical,DF2021819,8/12/24,PO-000073,2900,2900,Closed,USD,Matthew Martinez,555-309-6147,matthew@lifespringmedical.com,Net 30,9/11/24 00:00
LifeSpring Medical,DF2021998,8/20/24,PO-000074,3000,3000,Closed,USD,Matthew Martinez,555-309-6147,matthew@lifespringmedical.com,Net 30,9/19/24 00:00
LifeSpring Medical,DF2022095,8/26/24,PO-000075,4250,4250,Closed,USD,Matthew Martinez,555-309-6147,matthew@lifespringmedical.com,Net 30,9/25/24 00:00
LifeSpring Medical,DF2022671,9/4/24,PO-000076,1150,1150,Closed,USD,Matthew Martinez,555-309-6147,matthew@lifespringmedical.com,Net 30,10/4/24 00:00
LifeSpring Medical,DF2022717,9/5/24,PO-000077,2100,2100,Closed,USD,Matthew Martinez,555-309-6147,matthew@lifespringmedical.com,Net 30,10/5/24 00:00
LifeSpring Medical,DF2023375,9/23/24,PO-000078,6000,6000,Closed,USD,Matthew Martinez,555-309-6147,matthew@lifespringmedical.com,Net 30,10/23/24 00:00
LifeSpring Medical,DF2023680,10/8/24,PO-000079,1150,1150,Closed,USD,Matthew Martinez,555-309-6147,matthew@lifespringmedical.com,Net 30,11/7/24 00:00
LifeSpring Medical,DF2023797,10/7/24,PO-000080,4500,4500,Closed,USD,Matthew Martinez,555-309-6147,matthew@lifespringmedical.com,Net 30,11/6/24 00:00
